! (C) Copyright TOSHIBA CORPORATION 2016
! Date: 		2003-01-20
! Part Number: 		2SK3475
! Model:		RF-MOSFET


!          2SK3475         20030120

VAR        vds = 3.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 1

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y


 1200000000  0.886  -167.3   0.392     5.6  0.0440   -66.8   0.905  -168.9

 1250000000  0.889  -169.0   0.363     3.3  0.0421   -68.0   0.908  -170.5

 1300000000  0.892  -170.6   0.335     1.2  0.0402   -69.1   0.911  -172.1

 1350000000  0.895  -172.2   0.311    -0.1  0.0387   -69.9   0.913  -173.6

 1400000000  0.897  -173.8   0.293    -1.3  0.0374   -71.2   0.916  -175.1

 1450000000  0.899  -175.3   0.277    -3.1  0.0358   -72.7   0.918  -176.5

 1500000000  0.901  -176.7   0.259    -4.9  0.0342   -73.9   0.920  -177.9

 1550000000  0.903  -178.1   0.242    -6.0  0.0326   -74.6   0.922  -179.2

 1600000000  0.904  -179.5   0.229    -6.0  0.0317   -74.9   0.924   179.5

 1650000000  0.905   179.2   0.222    -6.5  0.0309   -76.4   0.925   178.2

 1700000000  0.906   177.9   0.215    -8.5  0.0296   -78.4   0.927   177.0

 1750000000  0.907   176.6   0.205   -10.6  0.0280   -79.7   0.928   175.8

 1800000000  0.908   175.4   0.194   -11.5  0.0267   -80.1   0.929   174.6

 1850000000  0.909   174.2   0.187   -11.7  0.0257   -80.4   0.931   173.5

 1900000000  0.909   173.6   0.186   -11.6  0.0254   -81.0   0.931   172.9

 1950000000  0.910   173.0   0.186   -12.4  0.0251   -82.3   0.932   172.3

 2000000000  0.910   172.4   0.185   -14.1  0.0243   -83.8   0.933   171.8

END ACDATA



VAR        vds = 10.0

VAR        id = 0.020

!          REM     DATA    NUMBER = 58

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.972   -28.5   8.860   156.4  0.0316    66.5   0.749   -31.3

  100000000  0.911   -53.3   7.677   136.1  0.0549    47.1   0.727   -57.7

  150000000  0.851   -72.7   6.460   119.8  0.0695    31.5   0.708   -78.0

  200000000  0.810   -87.7   5.360   107.6  0.0761    19.2   0.700   -93.2

  250000000  0.784   -99.2   4.588    97.0  0.0812     9.3   0.702  -104.8

  300000000  0.771  -108.5   3.906    87.7  0.0820     0.2   0.710  -113.7

  350000000  0.767  -116.0   3.384    79.5  0.0816    -6.5   0.721  -120.8

  400000000  0.767  -122.3   2.921    72.0  0.0810   -13.2   0.733  -126.7

  450000000  0.770  -127.7   2.544    66.0  0.0788   -19.0   0.746  -131.7

  500000000  0.776  -132.4   2.252    60.0  0.0765   -23.9   0.759  -136.1

  550000000  0.783  -136.5   1.985    54.2  0.0743   -28.5   0.772  -139.9

  600000000  0.791  -140.3   1.750    49.3  0.0717   -32.7   0.785  -143.4

  650000000  0.799  -143.7   1.553    45.1  0.0691   -36.6   0.796  -146.5

  700000000  0.807  -146.8   1.392    41.4  0.0665   -40.4   0.807  -149.3

  750000000  0.814  -149.7   1.257    38.1  0.0638   -44.3   0.816  -151.9

  800000000  0.821  -152.3   1.151    35.0  0.0602   -47.7   0.825  -154.4

  850000000  0.828  -154.8   1.059    31.3  0.0567   -49.8   0.834  -156.8

  900000000  0.835  -157.1   0.967    27.9  0.0543   -51.7   0.842  -158.9

  950000000  0.841  -159.2   0.891    24.7  0.0520   -53.6   0.849  -161.0

 1000000000  0.846  -161.3   0.817    21.3  0.0501   -55.5   0.856  -162.9

 1050000000  0.852  -163.2   0.750    18.5  0.0481   -57.8   0.862  -164.7

 1100000000  0.857  -165.1   0.692    15.8  0.0457   -59.8   0.867  -166.5

 1150000000  0.862  -166.8   0.639    13.3  0.0436   -61.3   0.872  -168.2

 1200000000  0.866  -168.5   0.593    10.9  0.0417   -62.7   0.877  -169.8

 1250000000  0.870  -170.2   0.550     8.6  0.0399   -63.9   0.881  -171.3

 1300000000  0.873  -171.7   0.509     6.6  0.0382   -64.9   0.885  -172.8

 1350000000  0.877  -173.3   0.472     5.3  0.0368   -65.8   0.889  -174.3

 1400000000  0.880  -174.7   0.446     4.1  0.0356   -67.1   0.893  -175.7

 1450000000  0.883  -176.2   0.422     2.2  0.0341   -68.5   0.896  -177.0

 1500000000  0.885  -177.5   0.395     0.4  0.0326   -69.7   0.899  -178.3

 1550000000  0.887  -178.9   0.368    -0.7  0.0311   -70.3   0.902  -179.6

 1600000000  0.890   179.8   0.349    -0.9  0.0302   -70.7   0.904   179.1

 1650000000  0.891   178.5   0.339    -1.4  0.0295   -72.0   0.907   177.9

 1700000000  0.893   177.2   0.329    -3.5  0.0283   -74.0   0.909   176.7

 1750000000  0.894   176.0   0.313    -5.6  0.0268   -75.2   0.911   175.5

 1800000000  0.896   174.8   0.296    -6.6  0.0255   -75.6   0.913   174.3

 1850000000  0.898   173.6   0.286    -6.8  0.0247   -75.8   0.915   173.2

 1900000000  0.898   173.0   0.283    -6.8  0.0244   -76.4   0.916   172.6

 1950000000  0.899   172.5   0.284    -7.5  0.0241   -77.6   0.917   172.1

 2000000000  0.900   171.9   0.282    -9.2  0.0234   -79.1   0.918   171.6

END ACDATA



VAR        vds = 10.0

VAR        id = 0.030

!          REM     DATA    NUMBER = 59

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.967   -30.8  10.736   155.6  0.0303    65.8   0.688   -34.6

  100000000  0.898   -57.0   9.180   135.0  0.0518    46.1   0.672   -63.1

  150000000  0.835   -77.0   7.637   119.0  0.0649    30.6   0.661   -84.1

  200000000  0.792   -92.2   6.304   107.2  0.0708    18.8   0.659   -99.2

  250000000  0.766  -103.6   5.372    96.9  0.0751     9.3   0.664  -110.4

  300000000  0.753  -112.7   4.566    88.0  0.0759     0.8   0.675  -118.8

  350000000  0.748  -119.9   3.955    80.3  0.0756    -5.6   0.688  -125.4

  400000000  0.748  -125.9   3.417    73.1  0.0752   -12.0   0.701  -130.7

  450000000  0.752  -131.0   2.983    67.4  0.0732   -17.7   0.715  -135.3

  500000000  0.758  -135.4   2.646    61.6  0.0713   -22.2   0.729  -139.3

  550000000  0.765  -139.3   2.338    56.1  0.0695   -26.6   0.743  -142.8

  600000000  0.773  -142.8   2.067    51.3  0.0672   -30.8   0.757  -145.9

  650000000  0.781  -145.9   1.840    47.3  0.0650   -34.6   0.770  -148.7

  700000000  0.789  -148.9   1.654    43.7  0.0626   -38.2   0.781  -151.3

  750000000  0.797  -151.5   1.499    40.4  0.0602   -42.0   0.791  -153.7

  800000000  0.805  -154.0   1.375    37.3  0.0569   -45.3   0.801  -156.0

  850000000  0.812  -156.3   1.267    33.7  0.0539   -47.4   0.811  -158.2

  900000000  0.819  -158.4   1.159    30.3  0.0518   -49.2   0.820  -160.2

  950000000  0.826  -160.5   1.069    27.1  0.0497   -51.1   0.828  -162.1

 1000000000  0.832  -162.4   0.983    23.8  0.0480   -52.9   0.835  -163.9

 1050000000  0.838  -164.3   0.904    21.0  0.0461   -55.3   0.842  -165.7

 1100000000  0.844  -166.1   0.836    18.3  0.0438   -57.3   0.848  -167.4

 1150000000  0.849  -167.8   0.773    15.9  0.0419   -58.8   0.854  -169.0

 1200000000  0.854  -169.4   0.718    13.5  0.0401   -60.2   0.859  -170.5

 1250000000  0.858  -171.0   0.666    11.2  0.0384   -61.4   0.864  -172.0

 1300000000  0.862  -172.5   0.617     9.2  0.0368   -62.4   0.869  -173.4

 1350000000  0.866  -174.0   0.573     7.9  0.0355   -63.2   0.873  -174.8

 1400000000  0.869  -175.4   0.541     6.7  0.0344   -64.5   0.878  -176.2

 1450000000  0.872  -176.8   0.512     4.7  0.0331   -66.0   0.881  -177.5

 1500000000  0.876  -178.1   0.480     2.9  0.0316   -67.1   0.885  -178.7

 1550000000  0.878  -179.5   0.448     1.7  0.0302   -67.7   0.888  -180.0

 1600000000  0.881   179.2   0.425     1.6  0.0293   -68.1   0.892   178.8

 1650000000  0.883   178.0   0.413     1.0  0.0286   -69.5   0.895   177.6

 1700000000  0.885   176.7   0.401    -1.0  0.0274   -71.3   0.897   176.4

 1750000000  0.886   175.5   0.382    -3.2  0.0260   -72.3   0.900   175.3

 1800000000  0.888   174.3   0.362    -4.2  0.0248   -72.6   0.902   174.1

 1850000000  0.890   173.2   0.349    -4.5  0.0239   -72.7   0.905   173.0

 1900000000  0.891   172.6   0.346    -4.5  0.0237   -73.3   0.906   172.5

 1950000000  0.892   172.1   0.346    -5.3  0.0234   -74.4   0.907   171.9

 2000000000  0.893   171.5   0.343    -7.0  0.0228   -75.7   0.909   171.4

END ACDATA



VAR        vds = 10.0

VAR        id = 0.050

!          REM     DATA    NUMBER = 60

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.962   -33.5  12.982   154.6  0.0284    64.8   0.608   -39.6

  100000000  0.886   -61.5  10.926   133.8  0.0481    44.9   0.607   -70.8

  150000000  0.820   -82.2   8.969   118.0  0.0594    29.8   0.609   -92.4

  200000000  0.777   -97.5   7.368   106.7  0.0644    18.6   0.616  -107.2

  250000000  0.751  -108.8   6.249    96.8  0.0680     9.5   0.627  -117.7

  300000000  0.739  -117.7   5.304    88.5  0.0687     1.4   0.641  -125.4

  350000000  0.734  -124.6   4.592    81.1  0.0686    -4.6   0.655  -131.3

  400000000  0.734  -130.2   3.971    74.3  0.0683   -10.6   0.670  -136.1

  450000000  0.737  -134.9   3.477    68.9  0.0666   -15.8   0.684  -140.1

  500000000  0.742  -139.1   3.093    63.4  0.0652   -20.1   0.698  -143.5

  550000000  0.749  -142.6   2.740    58.1  0.0637   -24.3   0.713  -146.6

  600000000  0.756  -145.9   2.430    53.6  0.0619   -28.2   0.727  -149.3

  650000000  0.764  -148.8   2.172    49.7  0.0600   -31.9   0.741  -151.7

  700000000  0.773  -151.5   1.959    46.2  0.0581   -35.4   0.753  -154.0

  750000000  0.781  -154.0   1.781    43.0  0.0560   -39.0   0.764  -156.2

  800000000  0.789  -156.2   1.639    40.0  0.0531   -42.1   0.775  -158.3

  850000000  0.797  -158.4   1.513    36.4  0.0504   -44.1   0.785  -160.2

  900000000  0.804  -160.3   1.387    33.1  0.0486   -46.0   0.794  -162.1

  950000000  0.811  -162.2   1.283    29.9  0.0468   -47.9   0.803  -163.8

 1000000000  0.818  -164.0   1.181    26.6  0.0453   -49.8   0.811  -165.5

 1050000000  0.824  -165.7   1.089    23.9  0.0436   -52.1   0.818  -167.1

 1100000000  0.830  -167.4   1.008    21.2  0.0416   -54.0   0.825  -168.6

 1150000000  0.835  -169.0   0.933    18.7  0.0399   -55.4   0.831  -170.1

 1200000000  0.840  -170.6   0.868    16.4  0.0382   -56.7   0.837  -171.6

 1250000000  0.845  -172.1   0.807    14.1  0.0367   -57.9   0.843  -172.9

 1300000000  0.850  -173.5   0.749    12.1  0.0352   -58.9   0.848  -174.3

 1350000000  0.854  -174.9   0.697    10.7  0.0340   -59.6   0.853  -175.6

 1400000000  0.858  -176.3   0.659     9.5  0.0329   -60.8   0.858  -176.9

 1450000000  0.861  -177.6   0.624     7.5  0.0317   -62.2   0.862  -178.1

 1500000000  0.865  -178.9   0.586     5.7  0.0303   -63.3   0.867  -179.3

 1550000000  0.868   179.8   0.548     4.5  0.0290   -63.8   0.870   179.5

 1600000000  0.871   178.6   0.520     4.3  0.0283   -64.1   0.875   178.3

 1650000000  0.874   177.4   0.505     3.7  0.0276   -65.5   0.878   177.1

 1700000000  0.876   176.2   0.491     1.6  0.0265   -67.4   0.882   176.0

 1750000000  0.878   175.0   0.468    -0.6  0.0252   -68.3   0.885   174.9

 1800000000  0.880   173.8   0.443    -1.6  0.0241   -68.6   0.888   173.8

 1850000000  0.882   172.6   0.427    -1.9  0.0233   -68.8   0.891   172.7

 1900000000  0.883   172.1   0.424    -2.0  0.0230   -69.4   0.893   172.1

 1950000000  0.884   171.5   0.424    -2.8  0.0227   -70.4   0.894   171.6

 2000000000  0.885   171.0   0.421    -4.5  0.0221   -71.7   0.896   171.1

END ACDATA



VAR        vds = 10.0

VAR        id = 0.070

!          REM     DATA    NUMBER = 61

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.960   -35.2  14.291   154.1  0.0273    64.5   0.554   -43.4

  100000000  0.880   -64.1  11.918   133.1  0.0456    44.3   0.567   -76.2

  150000000  0.815   -85.2   9.713   117.5  0.0560    29.4   0.580   -98.1

  200000000  0.772  -100.6   7.958   106.5  0.0605    18.5   0.594  -112.5

  250000000  0.746  -111.9   6.733    96.8  0.0639     9.6   0.609  -122.5

  300000000  0.734  -120.6   5.711    88.7  0.0644     1.9   0.624  -129.7

  350000000  0.728  -127.4   4.944    81.6  0.0644    -3.8   0.640  -135.2

  400000000  0.728  -132.8   4.279    75.0  0.0642    -9.6   0.654  -139.5

  450000000  0.731  -137.4   3.753    69.8  0.0628   -14.6   0.669  -143.2

  500000000  0.735  -141.3   3.343    64.5  0.0615   -18.7   0.683  -146.3

  550000000  0.742  -144.7   2.966    59.3  0.0603   -22.8   0.698  -149.1

  600000000  0.749  -147.8   2.636    54.9  0.0587   -26.7   0.712  -151.6

  650000000  0.757  -150.6   2.361    51.1  0.0570   -30.2   0.726  -153.8

  700000000  0.765  -153.1   2.134    47.7  0.0553   -33.7   0.738  -155.9

  750000000  0.773  -155.5   1.945    44.6  0.0534   -37.2   0.749  -157.9

  800000000  0.781  -157.6   1.793    41.5  0.0508   -40.3   0.760  -159.8

  850000000  0.788  -159.7   1.657    38.0  0.0484   -42.1   0.770  -161.6

  900000000  0.795  -161.5   1.521    34.6  0.0466   -44.0   0.780  -163.4

  950000000  0.803  -163.3   1.408    31.5  0.0449   -45.8   0.788  -165.0

 1000000000  0.809  -165.0   1.298    28.3  0.0436   -47.6   0.796  -166.6

 1050000000  0.816  -166.7   1.197    25.5  0.0420   -49.9   0.803  -168.1

 1100000000  0.822  -168.3   1.110    22.9  0.0401   -51.7   0.810  -169.6

 1150000000  0.827  -169.8   1.028    20.4  0.0385   -53.0   0.816  -171.0

 1200000000  0.832  -171.3   0.958    18.1  0.0369   -54.4   0.823  -172.4

 1250000000  0.837  -172.8   0.891    15.8  0.0354   -55.6   0.829  -173.7

 1300000000  0.842  -174.2   0.828    13.7  0.0341   -56.6   0.834  -174.9

 1350000000  0.847  -175.5   0.771    12.4  0.0329   -57.4   0.839  -176.2

 1400000000  0.851  -176.9   0.730    11.2  0.0319   -58.5   0.844  -177.4

 1450000000  0.855  -178.2   0.692     9.2  0.0308   -60.0   0.849  -178.6

 1500000000  0.859  -179.4   0.649     7.4  0.0295   -61.0   0.854  -179.8

 1550000000  0.862   179.3   0.608     6.2  0.0282   -61.5   0.858   179.1

 1600000000  0.865   178.1   0.577     6.0  0.0275   -61.8   0.862   177.9

 1650000000  0.868   176.9   0.561     5.3  0.0269   -63.0   0.866   176.8

 1700000000  0.870   175.7   0.545     3.1  0.0258   -64.8   0.870   175.7

 1750000000  0.872   174.6   0.520     1.0  0.0246   -65.8   0.874   174.6

 1800000000  0.875   173.4   0.493    -0.1  0.0235   -65.9   0.878   173.5

 1850000000  0.877   172.3   0.476    -0.5  0.0227   -66.1   0.881   172.4

 1900000000  0.878   171.8   0.472    -0.5  0.0225   -66.6   0.883   171.9

 1950000000  0.879   171.2   0.473    -1.3  0.0222   -67.6   0.885   171.4

 2000000000  0.880   170.7   0.469    -3.0  0.0216   -68.9   0.886   170.9

END ACDATA



VAR        vds = 10.0

VAR        id = 0.100

!          REM     DATA    NUMBER = 62

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.958   -36.8  15.458   153.6  0.0260    64.0   0.497   -47.9

  100000000  0.877   -66.5  12.790   132.5  0.0431    43.9   0.530   -82.3

  150000000  0.811   -87.9  10.357   117.2  0.0527    29.1   0.555  -104.1

  200000000  0.770  -103.4   8.472   106.4  0.0567    18.5   0.576  -118.0

  250000000  0.744  -114.6   7.152    96.9  0.0599     9.9   0.595  -127.4

  300000000  0.732  -123.3   6.063    89.0  0.0604     2.4   0.612  -134.0

  350000000  0.726  -129.9   5.249    82.1  0.0604    -3.0   0.628  -139.1

  400000000  0.726  -135.2   4.547    75.8  0.0603    -8.6   0.643  -143.0

  450000000  0.728  -139.6   3.995    70.7  0.0590   -13.4   0.657  -146.3

  500000000  0.732  -143.4   3.563    65.5  0.0580   -17.3   0.671  -149.2

  550000000  0.738  -146.7   3.165    60.5  0.0569   -21.3   0.686  -151.7

  600000000  0.745  -149.7   2.818    56.2  0.0555   -25.0   0.700  -153.9

  650000000  0.752  -152.3   2.530    52.5  0.0540   -28.4   0.713  -155.9

  700000000  0.760  -154.7   2.292    49.2  0.0525   -31.8   0.725  -157.8

  750000000  0.768  -157.0   2.092    46.1  0.0508   -35.2   0.736  -159.7

  800000000  0.775  -159.0   1.932    43.1  0.0484   -38.3   0.746  -161.5

  850000000  0.782  -160.9   1.788    39.5  0.0462   -40.1   0.757  -163.2

  900000000  0.789  -162.7   1.644    36.2  0.0447   -41.9   0.766  -164.8

  950000000  0.796  -164.4   1.523    33.1  0.0431   -43.7   0.775  -166.3

 1000000000  0.803  -166.1   1.406    29.9  0.0418   -45.5   0.782  -167.8

 1050000000  0.809  -167.6   1.299    27.1  0.0404   -47.7   0.789  -169.2

 1100000000  0.815  -169.2   1.205    24.4  0.0386   -49.5   0.796  -170.6

 1150000000  0.821  -170.7   1.117    22.0  0.0370   -50.8   0.802  -171.9

 1200000000  0.827  -172.1   1.041    19.7  0.0356   -52.1   0.809  -173.2

 1250000000  0.832  -173.5   0.969    17.4  0.0342   -53.2   0.815  -174.5

 1300000000  0.837  -174.9   0.901    15.4  0.0329   -54.2   0.820  -175.7

 1350000000  0.842  -176.2   0.840    14.0  0.0319   -54.9   0.826  -176.9

 1400000000  0.846  -177.5   0.796    12.8  0.0311   -56.0   0.831  -178.0

 1450000000  0.849  -178.7   0.755    10.8  0.0299   -57.3   0.836  -179.2

 1500000000  0.853  -179.9   0.709     9.0  0.0287   -58.3   0.841   179.7

 1550000000  0.856   178.9   0.665     7.8  0.0275   -58.7   0.846   178.6

 1600000000  0.860   177.7   0.632     7.6  0.0268   -58.9   0.850   177.5

 1650000000  0.862   176.5   0.614     6.9  0.0262   -60.2   0.855   176.4

 1700000000  0.865   175.3   0.597     4.7  0.0252   -61.9   0.859   175.3

 1750000000  0.867   174.2   0.570     2.6  0.0240   -62.8   0.863   174.2

 1800000000  0.870   173.0   0.541     1.5  0.0230   -62.9   0.867   173.2

 1850000000  0.872   171.9   0.522     1.1  0.0223   -62.9   0.871   172.1

 1900000000  0.873   171.4   0.518     1.0  0.0221   -63.4   0.873   171.6

 1950000000  0.874   170.9   0.518     0.2  0.0218   -64.4   0.875   171.1

 2000000000  0.875   170.4   0.514    -1.5  0.0213   -65.7   0.877   170.6

END ACDATA



VAR        vds = 10.0

VAR        id = 0.150

!          REM     DATA    NUMBER = 63

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.957   -38.2  16.453   153.3  0.0246    63.9   0.435   -53.7

  100000000  0.875   -68.7  13.529   132.1  0.0406    43.5   0.493   -89.5

  150000000  0.810   -90.4  10.896   116.9  0.0494    29.0   0.534  -110.7

  200000000  0.771  -106.0   8.902   106.3  0.0530    18.8   0.562  -123.8

  250000000  0.746  -117.2   7.501    97.1  0.0560    10.4   0.584  -132.5

  300000000  0.733  -125.7   6.357    89.4  0.0564     3.2   0.603  -138.6

  350000000  0.728  -132.2   5.506    82.6  0.0565    -2.1   0.619  -143.1

  400000000  0.726  -137.4   4.771    76.5  0.0565    -7.4   0.634  -146.7

  450000000  0.728  -141.7   4.200    71.6  0.0554   -12.1   0.648  -149.6

  500000000  0.731  -145.4   3.750    66.5  0.0545   -15.9   0.662  -152.2

  550000000  0.737  -148.6   3.336    61.6  0.0536   -19.8   0.676  -154.5

  600000000  0.743  -151.4   2.976    57.5  0.0524   -23.3   0.689  -156.5

  650000000  0.750  -154.0   2.677    53.9  0.0512   -26.7   0.702  -158.3

  700000000  0.757  -156.3   2.430    50.6  0.0498   -29.9   0.713  -160.0

  750000000  0.764  -158.4   2.223    47.5  0.0482   -33.3   0.724  -161.7

  800000000  0.771  -160.4   2.056    44.5  0.0460   -36.3   0.734  -163.3

  850000000  0.778  -162.2   1.905    41.0  0.0440   -38.0   0.744  -164.9

  900000000  0.785  -163.9   1.754    37.7  0.0426   -39.7   0.753  -166.4

  950000000  0.792  -165.6   1.627    34.6  0.0412   -41.5   0.761  -167.9

 1000000000  0.798  -167.2   1.503    31.4  0.0401   -43.2   0.768  -169.2

 1050000000  0.804  -168.7   1.390    28.7  0.0387   -45.5   0.775  -170.6

 1100000000  0.810  -170.1   1.291    26.0  0.0370   -47.3   0.781  -171.9

 1150000000  0.816  -171.6   1.198    23.6  0.0356   -48.5   0.787  -173.1

 1200000000  0.821  -173.0   1.118    21.3  0.0342   -49.8   0.793  -174.3

 1250000000  0.826  -174.3   1.042    19.0  0.0329   -50.9   0.799  -175.5

 1300000000  0.831  -175.6   0.969    17.0  0.0317   -51.7   0.804  -176.6

 1350000000  0.836  -176.9   0.905    15.6  0.0308   -52.4   0.810  -177.7

 1400000000  0.840  -178.1   0.858    14.4  0.0299   -53.5   0.815  -178.8

 1450000000  0.844  -179.4   0.814    12.4  0.0289   -54.8   0.820  -179.9

 1500000000  0.848   179.4   0.765    10.6  0.0277   -55.7   0.825   179.0

 1550000000  0.851   178.3   0.718     9.4  0.0266   -56.1   0.830   178.0

 1600000000  0.855   177.1   0.683     9.1  0.0260   -56.2   0.836   176.9

 1650000000  0.858   175.9   0.664     8.4  0.0255   -57.4   0.841   175.9

 1700000000  0.860   174.8   0.646     6.3  0.0245   -59.0   0.846   174.8

 1750000000  0.863   173.7   0.616     4.1  0.0234   -59.9   0.850   173.8

 1800000000  0.865   172.6   0.585     3.0  0.0224   -60.0   0.855   172.8

 1850000000  0.867   171.5   0.565     2.6  0.0217   -60.0   0.859   171.8

 1900000000  0.869   171.0   0.561     2.5  0.0215   -60.5   0.862   171.3

 1950000000  0.870   170.5   0.561     1.7  0.0213   -61.6   0.864   170.8

 2000000000  0.871   169.9   0.557     0.0  0.0207   -62.8   0.866   170.3

END ACDATA



VAR        vds = 10.0

VAR        id = 0.200

!          REM     DATA    NUMBER = 64

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.957   -38.9  16.910   153.3  0.0237    63.6   0.393   -58.5

  100000000  0.875   -69.9  13.870   132.0  0.0390    43.6   0.471   -94.6

  150000000  0.811   -91.7  11.141   116.8  0.0473    29.0   0.522  -115.2

  200000000  0.773  -107.4   9.098   106.4  0.0508    19.0   0.555  -127.7

  250000000  0.749  -118.6   7.659    97.2  0.0535    10.7   0.579  -135.9

  300000000  0.736  -127.1   6.492    89.7  0.0539     3.7   0.599  -141.5

  350000000  0.730  -133.5   5.624    83.0  0.0542    -1.5   0.616  -145.8

  400000000  0.729  -138.7   4.876    77.0  0.0542    -6.7   0.631  -149.1

  450000000  0.730  -142.9   4.296    72.2  0.0531   -11.3   0.644  -151.8

  500000000  0.732  -146.6   3.838    67.2  0.0524   -15.0   0.658  -154.2

  550000000  0.737  -149.7   3.417    62.4  0.0516   -18.7   0.671  -156.3

  600000000  0.743  -152.5   3.053    58.3  0.0504   -22.2   0.684  -158.1

  650000000  0.749  -155.0   2.750    54.7  0.0493   -25.5   0.696  -159.8

  700000000  0.756  -157.3   2.499    51.5  0.0481   -28.7   0.708  -161.5

  750000000  0.763  -159.3   2.289    48.4  0.0466   -32.1   0.718  -163.1

  800000000  0.770  -161.2   2.119    45.4  0.0445   -35.0   0.728  -164.6

  850000000  0.776  -163.0   1.965    41.9  0.0426   -36.7   0.737  -166.2

  900000000  0.783  -164.7   1.810    38.6  0.0413   -38.3   0.746  -167.6

  950000000  0.789  -166.3   1.680    35.5  0.0400   -40.0   0.753  -169.0

 1000000000  0.796  -167.8   1.553    32.3  0.0389   -41.8   0.760  -170.3

 1050000000  0.802  -169.3   1.436    29.6  0.0376   -44.0   0.766  -171.6

 1100000000  0.808  -170.7   1.334    26.9  0.0360   -45.8   0.771  -172.8

 1150000000  0.813  -172.1   1.238    24.5  0.0346   -47.1   0.777  -174.0

 1200000000  0.819  -173.5   1.155    22.2  0.0333   -48.3   0.783  -175.2

 1250000000  0.824  -174.8   1.077    20.0  0.0321   -49.3   0.788  -176.3

 1300000000  0.828  -176.1   1.003    18.0  0.0310   -50.2   0.793  -177.3

 1350000000  0.833  -177.3   0.937    16.6  0.0300   -50.7   0.799  -178.4

 1400000000  0.837  -178.6   0.888    15.4  0.0292   -51.8   0.804  -179.4

 1450000000  0.841  -179.8   0.844    13.5  0.0282   -53.0   0.809   179.5

 1500000000  0.845   179.1   0.794    11.6  0.0271   -53.9   0.814   178.5

 1550000000  0.848   177.9   0.746    10.5  0.0260   -54.2   0.820   177.5

 1600000000  0.852   176.7   0.709    10.2  0.0254   -54.3   0.825   176.5

 1650000000  0.855   175.6   0.691     9.5  0.0249   -55.4   0.830   175.5

 1700000000  0.857   174.5   0.672     7.3  0.0240   -56.9   0.835   174.5

 1750000000  0.860   173.4   0.641     5.1  0.0229   -57.7   0.841   173.5

 1800000000  0.863   172.3   0.609     4.0  0.0220   -57.7   0.846   172.5

 1850000000  0.865   171.2   0.589     3.6  0.0213   -57.6   0.851   171.5

 1900000000  0.866   170.7   0.585     3.5  0.0212   -58.1   0.853   171.0

 1950000000  0.868   170.2   0.585     2.7  0.0210   -59.0   0.856   170.5

 2000000000  0.868   169.7   0.581     1.0  0.0205   -60.3   0.858   170.1

END ACDATA



VAR        vds = 11.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 65

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.981   -24.8   5.868   158.0  0.0327    68.3   0.842   -26.0

  100000000  0.936   -47.0   5.214   138.3  0.0583    49.5   0.818   -49.1

  150000000  0.888   -65.2   4.489   121.8  0.0755    33.8   0.795   -67.9

  200000000  0.852   -80.0   3.770   108.9  0.0839    20.7   0.781   -82.9

  250000000  0.828   -91.7   3.262    97.7  0.0902    10.2   0.777   -95.0

  300000000  0.816  -101.5   2.790    87.6  0.0916     0.4   0.780  -104.6

  350000000  0.811  -109.6   2.423    78.8  0.0911    -7.0   0.786  -112.6

  400000000  0.810  -116.4   2.092    70.5  0.0904   -14.1   0.795  -119.3

  450000000  0.812  -122.4   1.815    64.0  0.0877   -20.5   0.804  -125.1

